0,1,2,3,4
,http://www.wildplacesafrica.com/our-lodges-camps/clouds/,"Clouds Mountain Gorilla LodgeOne of the best-known (and most-awarded) lodges in the country is Clouds, a pioneering eco hotel at the foot of Bwindi Impenetrable Forest. The lodge consists of a chalet-like main lodge and seven guesthouses, built from local volcanic stone and outfitted with handwoven rugs and works from the country’s most renowned artists. At almost 7,000 feet above sea level, Clouds is Uganda’s highest inn—and it’s not unusual for visitors to see the Virunga volcanoes glowing amber against the darkened sky.",,
,http://beijing.peninsula.com/en/special-offers/winter-online-exclusive-offer?gclid=CKjwqODZldICFUaHswodcjoBhw&gclsrc=aw.ds,"It all began in 1989, when it became the first “Western” luxury hotel brand to open in Beijing. The front of the hotel is adorned with a traditional Chinese entry gate. Guests pull up — usually in a Mercedes or Rolls Royce — to the entry, and are whisked away by uniformed doormen into the lobby. The soaring three-story space is lined with over 3,500 pieces of Palissandro marble, the stone’s ivory finish and cool grey veins creating a sense of purity and weightlessness. Six grand columns anchor the space, each hand-carved from traditional han bail yu white marble, the same as used in the emperor’s palaces in the Forbidden City. A rotating display of seasonal flowers and plants is changed every couple of months to reflect the seasons, so there might be peonies and plum blossoms for spring and pear wood and cherry blossoms for Chinese New Year during the winter. You can practically smell the opulence as soon as you arrive.",,
,,"An interesting aspect of the Peninsula’s lobby is the utter absence of any sort of front desk. As part of a $123 million basement-to-roof renovation to be completed this month, the hotel did away with clunky, old school check-ins. Instead, not unlike Apple stores, guests are welcomed by staff armed with iPads, all of which can provide check-in and check-out, concierge services, book spa appointments, and so forth. The tech trend continues into the rooms — down from 525 to only 230 post-renovation, making these among the largest and most comfortable in all of China — where an iPad in every individual room allows climate and lighting control as well as provides paperless hotel and city information at the swipe of a fingertip. You can even use the tablets to book an entire health and wellness day during your stay. The on-site gym and pool  are among the best you will find in any hotel. The spa offers a dazzling menu of treatments featuring traditional Chinese techniques and materials, like a Yin-Yang massage that starts with a skin brush and exfoliation, then moves into a cool stone massage and calming linen
wrap of chysanthemum, black lychee and green tea essential oils. And if you’re feeling overwhelmed by all the workout class options, spa services and so forth, you can ask for some advice from your very own physiotherapist — the hotel keeps one on staff.",,
,,Huang Ting,,
,http://www.theplazany.com/,"For so many people, traveling to Beijing is an otherworldly experience and the Peninsula captures everything that a trip to China’s capital city should entail: tradition, elegance, luxury, and sense of place. If you consider the availability of luxury shopping, the Chinese-influenced design of the hotel, the variety of food and beverage options and the spa treatments which use traditional techniques, the hotel itself becomes something of a microcosm of modern China. There are only a few hotels around the world that feel like a seamless part of the cultural fabric of where they sit, such as The Ritz Paris and The Plaza Hotel in New York. When recommending a place to stay in Beijing, it would be hard to think of somewhere more fitting or decadent than the Peninsula.",,
,http://shop-links.co/1569404049642291230,"Rivertown Shampoo, $37, for information: rivertownlodge.com; Rivertown Conditioner, $37, rivertownlodge.com",,
,http://shop-links.co/1569404235057296917,boutique hotel,,
,http://www.thegrahamandco.com/,"The Graham & Co.If Long Island is the go-to Manhattanite escape, the Brooklyn set increasingly has an eye on the Catskills, and this 20-room hotel in Phoenicia, New York, hits all the bases of a good getaway: smart design, no shortage of hammocks, and hiking trails nearby. Another alluring component: the property’s signature holywood diffusers, which send notes of palo santo, white grapefruit, and amber wafting through the air. For those understandably hooked, the room scent is available for sale, as is a wearable version in a fragrance roller. Fancy yourself a purist? The hotel also stocks classic palo santo incense.",,
,http://shop-links.co/1569404416967750957,nomad,,
,http://www.faena.com/miami-beach/,"Faena Hotel Miami BeachTwo seemingly disparate threads weave through this hotel, which opened in time for Art Basel Miami Beach late last year. One is full-tilt opulence—seen in the lobby’s murals by Juan Gatti, the sumptuous collision of red velvet and leopard print (Baz Luhrmann and Catherine Martin oversaw the interiors), and a gold-leafed Damien Hirst sculpture on conspicuous display. The other is decidedly holistic, via the in-house Tierra Santa Healing House. The spa takes a South American focus, drawing on indigenous ingredients and shaman-led protocols. While the singing bowls used in the Tree of Life treatment aren’t available as souvenirs, a set of the seven Sacred body oils—each tailored to a restorative purpose—can be yours.",,
,http://rstyle.me/n/bknfranwxe,boutique hotel,,
,http://www.thetimehotels.com/new-york/default-en.html,"The Time New YorkRecently overhauled by the design firm Rockwell Group, this Midtown hotel plays host to the first miniaturized set of shampoo, conditioner, body cream, and soap from Maison Margiela, the fashion label behind the cult perfume line Replica. The scented products, available in-room, wax nostalgic for a Brooklyn jazz club. Appropriately so for a clothing company, the other standout amenity is the white cotton Margiela bathrobe—destined to launch a number of chic, towel-turbaned selfies.",,
,,"Maison Margiela cotton robe, $150, for information: thetimehotels.com",,
The Surf Lodge,,"Montauk, New YorkCity dwellers decamp here each summer to enjoy the great outdoors (sunshine, swimming, fishing, and, of course, surfing) without giving up the comforts of home—including the most sought-after classes and workouts. The Surf Lodge’s owner, Jayma Cardoso has translated her own devotion to health and wellness—she credits the boutique Manhattan gym S10 Training for getting her in fighting shape since having a baby last December—into a hotel highlight. Every Friday, Saturday, and Sunday this summer, guests can sign up for everything from barre to boot camp and yoga classes directly from the best trainers in the world right on the beach.",,
The Miami Beach Edition,,"MiamiMid-Beach’s newest addition might just be its chicest: **Ian Schrager’**s seaside space has much to keep its well-heeled patrons interested—from the white-washed lobby to the Jean-Georges Vongerichten–helmed Matador Room restaurant. And since bowling might just be fashion’s newest favorite sport (see Chanel’s latest campaign for Chance Eau Vive), the Miami Beach Edition is right on trend: The hotel’s subterranean level boasts a four-lane bowling alley with groovy LED light shows and artist-painted balls—not to mention a fully stocked bar (since bowling isn’t exactly a dry sport). In the next room, an ice-skating rink acts simultaneously as the ultimate after-sun cooldown and fitness warm-up. Skate-offs encouraged.",,
Maalifushi by COMO,,"MaldivesThe Maldives has been drawing honeymooners and nature enthusiasts to its pristine archipelago of tiny islands for the view—surfers for its world-renowned waves. Maalifushi by COMO, the first luxury hotel to open up on the Thaa Atoll, makes the most of both. Tropicsurf’s camp at the Maalifushi was created not only to teach first-timers how to stand up on their boards, but also to fine-tune seasoned wave riders in technique, to have them cross stepping, nose-riding, or thrashing with unprecedented style by the end of their stay.",,
,,"Though we’ll always have a place in our heart for Chateau Marmont, where Sofia Coppola shot Somewhere, and the Beverly Wilshire, where Julia Roberts became a Pretty Woman, we’re ready to go east, west, and into the mountains for some new Los Angeles scenery. Here, the best of the new—and newly renovated—places to stay in L.A.",,
